smiles,freesolv
CC(=O)N1CCCC1,-9.8
C1CCNC1,-5.48
CC1=CC(=O)CC(C1)(C)C,-5.18
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
CCc1cnccn1,-5.45
CC(C)Cc1cnccn1,-5.04
Cc1cnccn1,-5.51
c1ccc2cc(ccc2c1)O,-8.11
Cc1ccc2cc(ccc2c1)C,-2.63
c1ccc2ccccc2c1,-2.4
CNC(=O)Oc1cccc2c1cccc2,-9.45
Cc1cc(c2ccccc2c1)C,-2.47
Cc1cc2ccccc2cc1C,-2.78
c1ccc2c(c1)cccc2N,-7.28
Cc1ccc(c2c1cccc2)C,-2.82
CCc1cccc2c1cccc2,-2.4
c1ccc2c(c1)cccc2O,-7.67
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
c1ccc2cc(ccc2c1)N,-7.47
Cc1cccc2c1cccc2,-2.44
CC1CCCC1,1.59
C1CCC(C1)O,-5.49
CCCCCC1CCCC1,2.55
CCCC1CCCC1,2.13
C1CCCC1,1.2
Cn1cccc1,-2.89
c1cc[nH]c1,-4.78
C1CCNCC1,-5.11
CN1CCCCC1,-3.88
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
C1CNC1,-5.56
c1ccc2c(c1)CCC2,-1.46
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
C1CCC=CC1,0.14
CC1=CCCCC1,0.67
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
C1C=CC=CC=C1,-0.99
c1ccc(cc1)Oc2ccccc2,-2.87
CN1CCOCC1,-6.32
C1COCCN1,-7.17
c1ccc2c(c1)ccc3c2cccc3,-3.88
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
c1ccc(cc1)c2ccccc2Cl,-2.69
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
c1ccc(cc1)c2ccccc2,-2.7
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
c1ccc2cc3ccccc3cc2c1,-3.95
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
CCc1ccccn1,-4.33
Cc1ccccn1,-4.63
Cc1ccnc(c1)C,-4.86
Cc1ccncc1C,-5.22
c1ccnc(c1)Cl,-4.39
CCc1ccncc1,-4.73
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
CC(=O)c1cccnc1,-8.26
c1ccncc1,-4.69
Cc1cccc(n1)C,-4.59
c1cc(cnc1)C=O,-7.1
c1cc(cnc1)C#N,-6.75
c1cnccc1C=O,-7.0
c1cc(cnc1)Cl,-4.01
Cc1ccncc1,-4.93
Cc1cccnc1,-4.77
Cc1cccnc1C,-4.82
c1cnccc1C#N,-6.02
CC(=O)c1ccncc1,-7.62
Cc1ccc(nc1)C,-4.72
CCc1cccnc1,-4.59
Cc1cc(cnc1)C,-4.84
Cc1cccs1,-1.38
c1ccsc1,-1.4
C1CCOCC1,-3.12
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
C1CCC(=O)CC1,-4.91
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
C1CCC(=O)C1,-4.7
C1=CC(=O)C=CC1=O,-6.5
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
C1CCCC(CC1)O,-5.48
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
c1ccc2c(c1)cccn2,-5.72
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
c1cnc[nH]1,-9.63
Cn1ccnc1,-8.41
Cc1c[nH]cn1,-10.27
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
c1ccc2c(c1)C(=O)NC2=O,-9.61
Cc1c[nH]c2c1cccc2,-5.88
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
C=C(c1ccccc1)c2ccccc2,-2.78
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
c1ccc-2c(c1)Cc3c2cccc3,-3.35
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
c1ccc2c(c1)Oc3ccccc3O2,-3.15
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
C[C@@H]1CCCC[C@@H]1C,1.58
C1CCCCC1,1.23
C1CCC(CC1)N,-4.59
CC1CCCCC1,1.7
COC(=O)C1CCCCC1,-3.3
CC1CCC(CC1)C,2.11
C1CCC(CC1)O,-5.46
CC(=O)C1CCCCC1,-3.9
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
CN1CCNCC1,-7.77
CN1CCN(CC1)C,-7.58
C1CNCCN1,-7.4
CCNc1nc(nc(n1)Cl)NCC,-10.22
CCNc1nc(nc(n1)SC)NC(C)C,-7.65
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
C1COCCO1,-5.06
COC(=O)C1CC1,-4.1
C1CC1,0.75
CC(=O)C1CC1,-4.61
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
C[C@H]1CCCO1,-3.3
C[C@H]1CC[C@@H](O1)C,-2.92
C1CCOC1,-3.47
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
c1ccc2c(c1)Cc3ccccc3C2,-3.78
c1cc2cccc3c2c(c1)CC3,-3.15
